DATE,PERIOD,R,PLANETDISCMETH,numPlanets
2016,19.9400874,0.266,Transit,1
2016,18.0540381,0.131,Transit,1
2014,11.932125,0.182889,Transit,1
2007,3.056536,1.274,Transit,1
2016,3.51576315,0.11,Transit,1
2016,3.2432598,1.286,Transit,1
2011,4.124481,1.024,Transit,1
2016,6.83437001,0.079,Transit,1
2016,16.8601286,0.178,Transit,1
2016,12.2854603,0.231,Transit,1
2014,30.864423,0.213222,Transit,1
2016,9.66857723,0.178,Transit,1
2014,11.379349,0.34169,Transit,1
2016,11.35011917,0.194,Transit,1
2014,6.511127,0.237309,Transit,1
2014,15.955387,0.173967,Transit,1
2016,45.1263042,0.232,Transit,1
2016,1.49514952,0.079,Transit,1
2016,28.5057189,0.252,Transit,1
2016,37.6467384,0.195,Transit,1
2016,11.29695137,0.152,Transit,1
2012,3.1260876,1.16,Transit,1
2016,32.2968798,0.157,Transit,1
2016,39.64317811,0.948,Transit,1
2010,3.52563254,1.08,Transit,1
2016,1.44259224,0.228,Transit,1
2016,89.722292,0.175,Transit,1
2016,10.10769068,0.147,Transit,1
2014,12.162701,0.14185,Transit,1
2016,41.43962808,0.422,Transit,1
2016,3.41303622,0.467,Transit,1
2014,24.08821,0.0990276,Transit,1
2011,1.4857108,1.33,Transit,1
2011,3.474474,1.686,Transit,1
2016,21.81293494,0.277,Transit,1
2016,16.301259,0.109,Transit,1
2016,26.7839183,0.172,Transit,1
2016,30.8638931,0.258,Transit,1
2014,34.260281,0.212329,Transit,1
2016,2.78815679,0.08,Transit,1
2016,3.87595807,0.069,Transit,1
2016,11.41909375,0.249,Transit,1
2016,20.16034462,0.145,Transit,1
2016,6.69960006,0.114,Transit,1
2016,18.00931444,0.465,Transit,1
2016,10.35863224,0.149,Transit,1
2016,21.3587621,0.248,Transit,1
2016,33.469743,0.181,Transit,1
2016,3.27646405,0.162,Transit,1
2016,60.866168,0.159,Transit,1
2014,6.057342,0.159693,Transit,1
2014,13.5405,0.199839,Transit,1
2016,6.02930132,0.274,Transit,1
2014,15.38231,0.192702,Transit,1
2012,1.43037,1.31,Transit,1
2016,14.13176026,0.254,Transit,1
2014,1.732342,0.117763,Transit,1
2016,40.9903986,0.181,Transit,1
2016,12.12400943,0.202,Transit,1
2016,3.10550819,0.222,Transit,1
2016,8.40691199,0.103,Transit,1
2016,10.94027841,0.199,Transit,1
2014,8.5234865,0.942,Transit,1
2014,36.445171,0.173967,Transit,1
2016,10.45843441,0.119,Transit,1
2014,10.349695,0.109733,Transit,1
2016,15.65562652,0.253,Transit,1
2014,7.810937,0.0936747,Transit,1
2014,41.008011,0.202516,Transit,1
2014,9.939632,0.119547,Transit,1
2014,17.232366,0.262289,Transit,1
2016,4.33946454,0.149,Transit,1
2014,8.371554,0.101704,Transit,1
2007,4.4652934,1.242,Transit,1
2014,129.9459,0.098939,Transit,1
2016,37.3229493,0.177,Transit,1
2014,25.672083,0.219467,Transit,1
2009,2.4855335,1.61,Transit,1
2011,8.0109434,0.187182,Transit,1
2016,49.6077331,0.175,Transit,1
2014,25.762294,0.24177,Transit,1
2016,38.1312831,0.17,Transit,1
2016,76.957857,0.165,Transit,1
2014,19.986326,0.236417,Transit,1
2016,25.369116,0.135,Transit,1
2016,1.41122985,0.13,Transit,1
2016,10.04556931,0.203,Transit,1
2014,8.436387,0.131145,Transit,1
2014,17.91323,0.107057,Transit,1
2016,18.1373829,0.102,Transit,1
2014,5.925003,0.278348,Transit,1
2016,4.69500134,0.127,Transit,1
2016,12.05707239,0.176,Transit,1
2010,3.53269,1.12,Transit,1
2016,38.47875707,1.19,Transit,1
2016,22.24813967,0.228,Transit,1
2016,7.25844721,0.559,Transit,1
2007,2.1522254,1.077,Transit,1
2014,5.341853,0.089214,Transit,1
2014,9.439452,0.364885,Transit,1
2016,6.14727918,0.071,Transit,1
2014,5.217738,0.0794005,Transit,1
2011,60.3231,1.09635,Transit,1
2014,3.763024,0.130252,Transit,1
2011,4.3176782,1.22,Transit,1
2014,135.498527,0.551343,Transit,1
2016,3.26869515,1.039,Transit,1
2016,31.1750448,0.138,Transit,1
2016,161.4743937,0.284,Transit,1
2014,2.68432848,1.2,Transit,1
2011,3.21222,1.08,Transit,1
2016,10.65276707,0.204,Transit,1
2016,24.7576421,0.262,Transit,1
2014,3.40883,1.213,Transit,1
2014,2.795906,0.152556,Transit,1
2009,0.85359163,0.143989,Transit,1
2016,22.4764425,0.148,Transit,1
2016,35.1810304,0.376,Transit,1
2016,20.83424726,0.252,Transit,1
2014,35.118736,0.246231,Transit,1
2016,1.11854972,0.095,Transit,1
2014,9.576694,0.258721,Transit,1
2016,13.68237119,0.145,Transit,1
2014,33.416423,0.21679,Transit,1
2016,2.89221751,0.111,Transit,1
2016,16.5861762,0.135,Transit,1
2013,3.446459,1.302,Transit,1
2016,0.97191543,0.064,Transit,1
2014,28.906009,0.0624498,Transit,1
2001,111.4367,1.029,RV,1
2016,5.01423457,1.335,Transit,1
2014,16.709184,0.189134,Transit,1
2016,23.2382792,0.15,Transit,1
2011,2.455239,0.96,Transit,1
2011,5.398763,0.205901,Transit,1
2016,8.49642241,0.186,Transit,1
2016,16.01310205,0.232,Transit,1
2016,98.7180406,0.801,Transit,1
2014,9.694928,0.189134,Transit,1
2012,2.17517656,1.7,Transit,1
2014,190.323494,0.729771,Transit,1
2016,44.96417488,0.19,Transit,1
2014,107.723601,0.347043,Transit,1
2016,78.1000231,0.284,Transit,1
2016,16.22371307,0.135,Transit,1
2016,8.63043276,0.148,Transit,1
2014,56.228098,0.223927,Transit,1
2016,7.97419807,0.17,Transit,1
2014,20.306546,0.146311,Transit,1
2014,4.362705,0.145419,Transit,1
2014,19.446355,0.270319,Transit,1
2014,21.869741,0.140958,Transit,1
2016,5.74347727,0.298,Transit,1
2014,45.348269,0.100812,Transit,1
2016,4.12554687,0.431,Transit,1
2016,14.37508035,0.153,Transit,1
2016,10.37168453,0.259,Transit,1
2016,7.16892463,0.151,Transit,1
2016,7.74809437,0.531,Transit,1
2016,15.0330105,0.107,Transit,1
2016,87.9732136,0.316,Transit,1
2016,51.300634,0.256,Transit,1
2015,24.6454,0.157,Transit,1
2016,13.24503188,0.145,Transit,1
2016,8.73485836,0.162,Transit,1
2014,31.805174,0.244446,Transit,1
2011,38.5583038,0.282556,Transit,1
2016,2.23749275,0.119,Transit,1
2016,11.01816836,0.227,Transit,1
2014,4.915379,0.157909,Transit,1
2016,81.4162941,0.351,Transit,1
2014,8.921099,0.123115,Transit,1
2014,10.558345,0.10438,Transit,1
2014,0.6693109,0.095459,Transit,1
2016,1.22486632,0.1,Transit,1
2007,1.30619,1.336,Transit,1
2014,2.061897,0.14988,Transit,1
2016,3.04033042,0.822,Transit,1
2011,45.29485,0.209653,Transit,1
2016,53.5293487,0.217,Transit,1
2014,36.924931,0.240878,Transit,1
2010,3.6001053,0.0367,Transit,1
2016,8.60010411,0.394,Transit,1
2014,9.653471,0.245339,Transit,1
2014,30.826557,0.278348,Transit,1
2014,44.699576,0.280132,Transit,1
2014,3.162697,0.22928,Transit,1
2016,4.46975774,0.206,Transit,1
2010,3.234723,1.323,Transit,1
2016,5.64067757,0.384,Transit,1
2014,20.050401,0.206084,Transit,1
2014,34.060467,0.242662,Transit,1
2014,16.725948,0.110625,Transit,1
2015,3.0440499,1.212,Transit,1
2016,3.70921385,0.112,Transit,1
2016,5.94566534,0.112,Transit,1
2016,117.9310878,0.93,Transit,1
2014,2.927128,0.117763,Transit,1
2016,14.878296,0.156,Transit,1
2016,99.2530951,0.158,Transit,1
2014,91.353282,0.160585,Transit,1
2014,15.274299,0.196271,Transit,1
2016,6.92101021,0.144,Transit,1
2013,10.423648,0.3937,Transit,1
2013,2.184673,1.21,Transit,1
2016,5.62153941,0.113,Transit,1
2012,8.726,0.203,Transit,1
2016,23.20584623,0.424,Transit,1
2011,4.234516,0.565,Transit,1
2016,15.0540329,0.149,Transit,1
2014,20.834237,0.209653,Transit,1
2016,2.3432319,0.105,Transit,1
2016,1.28958811,0.13,Transit,1
2011,6.098493,0.0773688,Transit,1
2014,19.850242,0.203408,Transit,1
2016,3.89593684,0.871,Transit,1
2011,18.16406,0.173812,Transit,1
2016,7.411141,0.221,Transit,1
2013,54.32031,0.5978,Transit,1
2016,4.09357325,0.235,Transit,1
2016,11.72292176,0.2,Transit,1
2016,12.98495573,0.159,Transit,1
2016,4.89337519,0.14,Transit,1
2016,5.77721211,0.153,Transit,1
2016,8.0472642,0.213,Transit,1
2014,77.473633,0.223035,Transit,1
2014,5.326718,0.220359,Transit,1
2014,6.308205,0.269426,Transit,1
2016,3.3004192,0.155,Transit,1
2016,10.57,2.37,Transit,1
2016,12.5720095,0.106,Transit,1
2016,27.07237711,0.194,Transit,1
2014,4.309427,0.13739,Transit,1
2016,1.93155984,0.211,Transit,1
2016,213.257663,0.277,Transit,1
2010,2.99433,1.43,Transit,1
2014,14.871572,0.125792,Transit,1
2014,41.809118,0.192702,Transit,1
2016,0.63642408,0.115,Transit,1
2014,4.081423,0.082969,Transit,1
2010,177.6693,0.20787,Transit,1
2016,3.48159251,0.099,Transit,1
2016,27.5722742,0.173,Transit,1
2014,15.054786,0.165938,Transit,1
2004,2.64385,0.3767,RV,1
2016,10.41725184,0.127,Transit,1
2014,4.761702,0.255152,Transit,1
2016,184.256405,0.203,Transit,1
2016,8.57503552,0.367,Transit,1
2016,1.6168837,0.178,Transit,1
2014,4.302149,0.177536,Transit,1
2014,25.745718,0.138282,Transit,1
2014,8.005777,0.21679,Transit,1
2016,6.52121067,0.299,Transit,1
